8, 6, 12, pa2-debug-c-optpivot.txt
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  429.83,   423.78, -1332.44
  474.01,   444.74, -1342.85
  518.20,   465.69, -1353.26
  445.94,   412.66, -1286.43
  490.13,   433.61, -1296.84
  534.32,   454.57, -1307.25
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  379.20,   441.42, -1330.09
  372.76,   490.37, -1337.99
  366.33,   539.32, -1345.89
  395.32,   451.02, -1283.74
  388.88,   499.97, -1291.64
  382.44,   548.92, -1299.54
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  366.78,   417.98, -1254.62
  354.16,   454.66, -1223.07
  341.54,   491.34, -1191.53
  395.38,   449.93, -1280.33
  382.76,   486.61, -1248.79
  370.14,   523.29, -1217.24
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  345.27,   414.52, -1320.97
  306.88,   446.28, -1325.21
  268.50,   478.04, -1329.46
  365.36,   443.53, -1285.55
  326.97,   475.29, -1289.79
  288.59,   507.05, -1294.04
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  432.34,   426.34, -1327.07
  466.19,   432.30, -1363.38
  500.05,   438.26, -1399.69
  422.76,   380.13, -1343.59
  456.62,   386.09, -1379.90
  490.47,   392.05, -1416.21
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  339.72,   386.92, -1309.26
  291.64,   383.10, -1296.10
  243.55,   379.28, -1282.94
  351.50,   399.98, -1262.46
  303.41,   396.16, -1249.30
  255.33,   392.35, -1236.13
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  368.66,   447.25, -1298.65
  350.02,   488.09, -1320.65
  331.38,   528.94, -1342.66
  381.44,   428.97, -1343.40
  362.80,   469.82, -1365.41
  344.15,   510.66, -1387.41
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  371.12,   413.40, -1347.55
  373.48,   427.72, -1395.40
  375.83,   442.04, -1443.25
  420.97,   409.77, -1346.19
  423.33,   424.09, -1394.04
  425.68,   438.41, -1441.88
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  344.90,   410.73, -1322.74
  295.51,   418.48, -1322.12
  246.11,   426.24, -1321.50
  343.71,   399.32, -1274.07
  294.32,   407.07, -1273.45
  244.93,   414.83, -1272.83
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  366.45,   439.76, -1275.01
  347.97,   464.54, -1235.70
  329.50,   489.31, -1196.40
  384.00,   404.32, -1244.42
  365.52,   429.09, -1205.12
  347.05,   453.87, -1165.81
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  353.20,   430.09, -1278.83
  336.20,   469.88, -1253.78
  319.21,   509.68, -1228.74
  400.21,   444.05, -1269.12
  383.22,   483.85, -1244.08
  366.23,   523.65, -1219.03
    0.00,     0.00, -1500.00
    0.00,     0.00, -1350.00
    0.00,   150.00, -1500.00
    0.00,   150.00, -1350.00
  150.00,     0.00, -1500.00
  150.00,     0.00, -1350.00
  150.00,   150.00, -1500.00
  150.00,   150.00, -1350.00
  398.04,   399.54, -1243.34
  407.76,   422.79, -1200.15
  417.47,   446.03, -1156.96
  408.79,   441.49, -1268.33
  418.51,   464.73, -1225.15
  428.23,   487.98, -1181.96
